Date;FCI_house_BE;FCI_corpo_BE;FCI_gov_BE;FCI_total_BE;FCI_house_FR;FCI_corpo_FR;FCI_gov_FR;FCI_total_FR;FCI_house_GE;FCI_corpo_GE;FCI_gov_GE;FCI_total_GE;FCI_house_IT;FCI_corpo_IT;FCI_gov_IT;FCI_total_IT;FCI_house_LU;FCI_corpo_LU;FCI_gov_LU;FCI_total_LU;FCI_house_NT;FCI_corpo_NT;FCI_gov_NT;FCI_total_NT;FCI_house_SP;FCI_corpo_SP;FCI_gov_SP;FCI_total_SP;FCI_house_EU;FCI_corpo_EU;FCI_gov_EU;FCI_total_EU
30/06/2016;-0.239199996;-0.42899999;-0.344099998;-0.418199986;0.080600001;-0.201900005;-0.708100021;-0.191599995;-0.266799986;-0.298900008;-0.644699991;-0.322400004;0.0063;0.021500001;-0.556900024;0.0198;0.324999988;0.177200004;-0.231299996;0.193499997;-0.055500001;-0.303600013;-0.576900005;-0.261500001;0.114699997;0.375;-0.65990001;0.622099996;0.233899996;-0.122400001;-0.588100016;-0.070799999
30/09/2016;-0.374599993;-0.646300018;-0.377700001;-0.63319999;-0.1127;-0.37470001;-0.742500007;-0.3662;-0.379200011;-0.439700007;-0.66930002;-0.467999995;-0.120700002;-0.109800003;-0.706399977;-0.112000003;0.206;-0.078500003;-0.423700005;-0.058699999;-0.198100001;-0.50880003;-0.6778;-0.477800012;-0.042300001;0.179399997;-0.718200028;0.285600007;0.0526;-0.436699986;-0.724300027;-0.385500014
31/12/2016;-0.341699988;-0.645399988;-0.061000001;-0.629100025;-0.201800004;-0.500400007;-0.426699996;-0.490399987;-0.469399989;-0.550999999;-0.33039999;-0.580799997;-0.3838;-0.125599995;-0.42899999;-0.145699993;0.105400003;-0.070500001;-0.130199999;-0.052700002;-0.293099999;-0.582000017;-0.524299979;-0.5546;-0.268900007;0.090099998;-0.571500003;0.090899996;-0.0284;-0.460999995;-0.432799995;-0.414600015
31/03/2017;-0.203999996;-0.465600014;0.203600004;-0.448500007;-0.160999998;-0.53609997;-0.032299999;-0.523400009;-0.521200001;-0.53549999;0.058400001;-0.568899989;-0.39199999;-0.0186;-0.050500002;-0.046399999;0.0165;0.195500001;0.274100006;0.203099996;-0.4366;-0.547299981;-0.210299999;-0.532299995;-0.308499992;-0.289200008;-0.509899974;-0.389899999;-0.0436;-0.296999991;-0.093900003;-0.259600013
30/06/2017;0.052999999;-0.169200003;0.179000005;-0.150199994;-0.106799997;-0.572799981;0.1919;-0.557099998;-0.457300007;-0.54400003;0.296000004;-0.5704;-0.233400002;0.037599999;0.065800004;0.017100001;0.0647;0.629400015;0.513800025;0.62620002;-0.355199993;-0.378699988;0.023399999;-0.357899994;-0.263000011;-0.351200014;-0.384299994;-0.441599995;0.107699998;-0.045000002;0.161699995;-0.0107
30/09/2017;0.244599998;-0.0075;0.146400005;0.0156;-0.257299989;-0.700399995;0.363700002;-0.686600029;-0.424100012;-0.551699996;0.328099996;-0.575100005;-0.207900003;-0.048300002;0.080300003;-0.062399998;0.176200002;0.752699971;0.637700021;0.749000013;-0.334100008;-0.270500004;0.196999997;-0.249500006;-0.246199995;-0.269600004;-0.34889999;-0.324999988;0.225500003;0.082999997;0.290699989;0.118000001
31/12/2017;0.405600011;0.103399999;0.080499999;0.131799996;-0.40259999;-0.787299991;0.483599991;-0.776799977;-0.384900004;-0.719900012;0.336699992;-0.73119998;-0.179800004;-0.1215;0.057700001;-0.1294;0.350600004;0.862900019;0.576799989;0.862100005;-0.219799995;-0.185200006;0.208399996;-0.155300006;-0.202800006;-0.252299994;-0.419;-0.284399986;0.338499993;0.215700001;0.454899997;0.250400007
31/03/2018;0.479999989;0.369899988;0.051199999;0.390700012;-0.335799992;-0.609600008;0.524200022;-0.602500021;-0.34009999;-0.521300018;0.426099986;-0.538399994;-0.072800003;0.0178;0.101899996;0.0091;0.426400006;0.944700003;0.813300014;0.942700028;-0.150299996;-0.0095;0.310000002;0.0155;-0.159500003;-0.130500004;-0.378600001;-0.118299998;0.446500003;0.501900017;0.672999978;0.529600024
30/06/2018;0.419200003;0.549600005;-0.136399999;0.558099985;-0.169699997;-0.446799994;0.408899993;-0.438800007;-0.328700006;-0.325899988;0.414900005;-0.353599995;0.0097;0.212200001;0.1303;0.198200002;0.452699989;1.01030004;0.78549999;1.006299973;-0.069300003;0.124399997;0.307300001;0.152899995;-0.0757;-0.145899996;-0.38409999;-0.1241;0.498400003;0.674899995;0.754100025;0.697099984
30/09/2018;0.33950001;0.705500007;-0.235100001;0.700800002;-0.088600002;-0.350699991;0.303900003;-0.343400002;-0.193399996;-0.098899998;0.312700003;-0.126699999;0.114200003;0.528400004;0.343300015;0.503499985;0.440400004;1.100499988;0.853299975;1.093099952;0.0185;0.238000005;0.323700011;0.266299993;0.024700001;-0.243000001;-0.389200002;-0.228599995;0.53670001;0.74150002;0.775900006;0.762300014
